,Имя,Комментарий,Дата,Оценка
530,Петр,"Лечусь только в данной клинике, каждым визитом доволен полностью. Внимательный и чуткий персонал. Я очень боюсь боли, но доктора работают настолько профессионально, что в процессе лечения даже забываешь, что ты в кресле стоматолога, настолько безболезненно проходит процесс лечения. Однозначно рекомендую. Спасибо «Ю-Клиник»!",30 июля 2020,5
531,Ксения,"Хочу высказать благодарность прекрасному врачу и замечательному человеку Тен Кристине Леонидовне. Прекрасно проведена работа! Качественно, быстро и без неприятных ощущений. Побольше таких врачей!!! Спасибо «Ю-Клиник» за таких специалистов!",30 июля 2020,5
532,Алексей,"Огромная благодарность почет и уважение доктору Юнису Абдулу, а также Вашей клинике за профессионализм, отличную подготовку и человеческий подход к пациентам. Хочется отметить работу всего вашего персонала, как ответственную, внимательную, заботливую.
Всем Вам отличного здоровья, счастья, успехов, карьерного роста, достатка. Спасибо, буду рекомендовать вас своим знакомым)",30 июля 2020,5
533,Мария,"Очень приятная клиника! Кофе нальют, воды предложат, еще и обращаются по имени и отчеству. Ты прямо не готов к такому уровню жизни))))) Клиника супер, прямо новейший уровень. Советую теперь своим друзьям! «Ю-Клиник» спасибо вам!",30 июля 2020,5
534,Юлич,"Самая лучшая клиника в Гомеле! Современное оборудование, вежливый персонал, а главное очень уютно. Удаляла зуб ""мудрости"" у Дегтярева Д. Б., удаление было сложным, но все прошло без осложнений и боли, даже с нотками юмора, доктор - профессионал своего дела.",30 июля 2020,5
535,Александра,"Хочу поделиться впечатлением о работе Дворонина Максима Арсеньевича, прекрасного стоматолога. Конечно, я была у него на приеме не по приятному поводу, но обслуживание на 100% мне понравилось. К сожалению, мне пришлось прибегнуть к удалению зуба, спасти который не удалось. Ну ничего, он не в зоне улыбки, да и решить эту проблему можно. А вот найти хорошего стоматолога для удаления достаточно сложно, это я знаю по отзывам своих друзей. Именно поэтому я решила найти своего врача – это получилось! Также благодарю весь персонал медицинского центра «Ю-Клиник» за их профессионализм, качественное обслуживание, и доброжелательность. Спасибо!",30 июля 2020,5
536,Алла,"Доктор Силина Алла Валерьевна занималась удалением молочных зубов у моей доченьки, в будущем придем к ней еще не раз, я уверена. Обезболивание делается очень качественно, ребенок даже не плачет! Всем советую! Также хочу выразить благодарность всему персоналу «Ю-Клиник» за их профессионализм в своей работе.",30 июля 2020,5
537,Юрий,Хочу выразить благодарность всему персоналу «Ю-Клиник»! Был приятно удивлен профессионализмом данной клиники! Прекрасное обслуживание и профессиональный подход к каждому пациенту. Буду ходить теперь только сюда! Отдельно хотелось бы поблагодарить доктора Дворонина Максима Арсеньевича и основателя «Ю-Клиник» Юрковца Александра Николаевича. Вы – прекрасные люди и профессионалы своего дела! Рекомендую.,30 июля 2020,5
538,Ирина,"Хочу выразить огромную благодарность всему персоналу медицинского центра «Ю-Клиник» за внимательное и дружелюбное отношение, качественное обслуживание)
Отдельную благодарность хочу выразить основателю клиники Юрковцу Александру Николаевичу и доктору Юнису Абдулу.
Спасибо большое, буду обращаться еще!",30 июля 2020,5
539,Татьяна,"Хочу выразить свою благодарность за профессиональный подход к лечению в вашей клинике! После посещения данной клиники осталась очень довольна. Спасибо всему персоналу «Ю-Клиник» и в особенности основателю Юрковцу Александру Николаевичу,а также доктору Тен Кристине Сергеевна! Профессионалы своего дела!",28 июля 2020,5
540,Татьяна,"Здравствуйте! Хочу выразить свою благодарность замечательному доктору Поддубной Ольге Владимировне! Я очень запустила свои зубы и думала, что уже ничего сделать нельзя. Долго выбирала клинику, а самое главное, доктора, к которому не страшно будет обратиться. Видно, что она любит свою профессию и постоянно в ней совершенствуется. После окончания работы я была просто в восторге! Еще хочу поблагодарить весь персонал «Ю-Клиник» за качественное обслуживание, внимательное и дружелюбное отношение к пациентам, за чистоту и порядок, а также за соблюдение санитарных норм!",28 июля 2020,5
541,Виктория,"Хочу выразить огромную благодарность всему персоналу  медицинского центра  ""Ю-Клиник"" за внимательное и дружелюбное отношение, качественное обслуживание)
Отдельную благодарность хочу выразить основателю клиники Юрковец Александру Николаевичу и доктору Юнис Абд Алрахем Мохамад Али
Спасибо большое, буду обращаться еще!",28 июля 2020,5
542,Лариса,"Хочу поблагодарить Ю-Клиник за качество обслуживания , обратилась в клинику в городе Гомеле  с семейным капиталом , записали на консультацию к ортопеду и к хирургу , сделали снимок , объяснили какие документы с собой надо брать , очень понравилась работа всего персонала , доступно всё объяснили . Я собрала все документы , записали на процедуру , сделали всё в один день я выбрала имплантацию Straumann , и коронки циркониевые . Сейчас уже вышла с зубиком с клиники довольная , пишу отзыв и рекомендую , только эту клинику!",22 мая 2020,5
543,Андрей,"Хочу поблагодарить стоматологический центр Ю -Клиник за самое внимательное отношение к пациентам, делал имплантацию в Гомеле  ,всё на 4 имплантах , делал мне это врач Дворонин Максим Арсеньевич и Юрковец Александр Николаевич , очень удобно , что всё в одном месте ортопедия и хирургия , снимки делают в клиники , сейчас уже прошло 6 месяцев , я хожу и радуюсь своей улыбкой !!!!! Спасибо девочкам на ресепшн, очень внимательные и отзывчивые !!! А также благодарю медсестёр , которые тоже всегда делали , чтобы я улыбнулся!!!",16 мая 2020,5
544,Екатерина,"Хочу выразить огромную благодарность всему коллективу «Ю-клиник». Это отличная клиника, которая на 100% соответствует своей высокой репутации! 2 года назад я остановила свой выбор именно на вас и не разу не пожалела. Каждый визит это не просто посещение-это одно удовольствие и уверенность! Не может не радовать приятная, располагающая и доброжелательная атмосфера, которую создают,сразу при входе,девочки администраторы. И конечно же квалифицированные специалисты, которые радуют превосходной работой! Отдельную благодарность хочу выразить Юнис Абдулу, который исправил мои кривые зубки) Раньше думала, что брекеты-это не красиво, но благодаря моему врачу, время ношения брекетов пролетело незаметно. Работа была сложной, но результат превосходный! 15 лет комплексов, но теперь я улыбаюсь красиво и уверенно! Юнис Абдул спасибо за Ваш профессионализм!",20 апреля 2020,5
545,Любовь,"Благодарна Ю-КЛИНИК за качество оказанных услуг! На этой неделе завершилась работа по установлению коронки на имплант. Качество высочайшее. Очень переживала за операцию имплантации, но, как оказалось, зря! Безболезненно, качественно! Имплантация в Гомеле - только Ю-КЛИНИК!
После заживления, установила коронки из циркония. Прочные, под цвет моих зубов, не отличить! Устранили дефект в моей улыбке! Спасибо огромное! Вы действительно профессионалы своего дела!",18 апреля 2020,5
546,Александр,"Выражаю огромную благодарность Поддубной Ольге Владимировне! Замечательный доктор. Очень рада полученным результатом. Зубы стали белее и порадовало, что в Гомеле появилась клиника, которая делает именно фотоотбеливание.
Клиника чистая. Персонал вышколенный. Чувствуешь себя значимым.
Однозначно буду обращаться еще.
Рекомендую",16 апреля 2020,5
547,Алла,"Выражаю огромную благодарность всем специалистам данной клиники! Очень вежливый и отзывчивый персонал, качество услуг превосходное! В данной клинике я залечила необходимые зубы, очень довольна кропотливостью и внимательностью мед.персонала. Сегодня я делала фотоотбеливание и осталась очень довольна! Безопасно отбелили мои зубки до желаемого тона, очень признательна Ю-КЛИНИК, за мою ослепительную и здоровую улыбку!",9 марта 2020,5
548,Полина,"Багодарю Ю-Клиник за ваш труд! Была приятно удивлена, что в стоматологической клинике может быть так круто! Отдельную благодарность выражаю Поддубной Ольге Владимировне, за внимание и её работу, очень приятный врач, спасибо! Всем теперь советую.",9 марта 2020,5
549,Александра,"Хочу поблагодарить Ю-Клиник , за очень хороший сервис ,делала имплантацию в Гомеле , врач Хирург Максим Арсентьевич поставил мне имплант Производитель Швейцария , нигде не могла такого найти , нашла только в Ю-КЛИНИК , протезирование тоже делала в клинике , очень аккуратная и внимательная врач  Кристина Сергеевна цвет и как всё получилось , Довольна на 100% . Отношение к пациентам и персонал очень приветливые , видно что клиника ориентированна на клиента!!!",6 марта 2020,5
550,Карина,"Выражаю огромную благодарность ортодонту Ю-Клиник! Врач с большой буквы! У него не только золотые руки, но и прекрасное чувство юмора. Ходила к нему с превеликим удовольствием, а результат просто бомба. Наслаждаюсь теперь своей идеальной улыбкой. Спасибо!!!",11 февраля 2020,5
551,Анна,"Шла удалять 2 зуба ""мудрости"" плакала от страха. Доктор Медведев Николай Леонидович сразу успокоил,все объяснил. Удаление прошла без каких-либо болезненных ощущений. Прекраснейший специалист и мега крутой человек!",5 февраля 2020,5
552,Надежда,"В каком же я приятном восторге от Ю-Клиник! Мне ещё так ни одна клиника не нравилась, как эта. Была сложная операция по удалению зуба мудрости, как я переживала вам и не описать. Но как только я села в кресло врача и немного пообщавшись с ним, поняла, что нахожусь в нужных руках. Удалять было совсем не больно, атмосферно и быстро. Выражаю огромную благодарность врачу Медведеву Н.Л., врач от Бога. Также благодарю весь персонал клиники за приятное общение и сервис.",29 января 2020,5
553,Елена,"Это лучшая стоматология не то что в городе,а даже в области.Мы приехали из Светлогорска,лечили передний зуб дочке.Все на высшем уровне,врачи профессионалы.Нам лечил Шарай Павел,молодой ,но очень хороший доктор.Дочка с удовольствием лечила зуб.Огромное спасибо команде Ю-Клиник,процветания вам,побольше клиентов,пусть о вас знают не только в области ,но и в республике!!!!Вы крутые!",26 января 2020,5
554,Елена,"В большом восторге от Ю-Клиник! Достойный сервис, очень хорошие врачи, не раз  там лечила зубы и каждый раз уходила от них с хорошим настроением! Вы молодцы! Спасибо вам  за это!",20 января 2020,5
555,Ева,"Если у вас с детства есть боязнь стоматологов, то вам только в Ю-клиник,они мигом развеят этот миф и выбудете приятно удивлены. С того момента как вы переступили порог клиники, вы уже находитесь в надёжных руках. Администраторы вежливо встретят, скоординируют по действиям, вам не нужно в панике искать гардероб и нужный вам кабинет, всё спокойно, комфортно и атмосферно. Вам даже предложат чай/кофе   шоколадка,всё для того, что вы максимально расслабились, ну а врачи сделают своё дело, ведь они профессионалы!!! Теперь только Ю-Клиник, мои зубки в надёжных руках! Спасибо вам большое!",14 января 2020,5
556,Аврора,"Мне так нравится Ю-Клиник, что я теперь чуть ли не каждому  кричу о том, как там круто и профессионально! Сервис- бомба, внимание уделят на все 100%, а у врачей золотые руки!!! Желаю всем ровняться на них, а Ю-Клиник  процветания и благополучия, вы молодцы!!! Так держать!!!",14 января 2020,5
557,Галина,"Огромная благодарность сотрудникам Ю-КЛИНИК! Я делала процедуру фотоотбеливания. Изначально искала безопасное и качественное отбеливание в Гомеле. По совету знакомой обратилась на консультацию в Ю-КЛИНИК. На консультации был произведен осмотр и назначена дата фотоотбеливания. Я очень довольна! Нет чувствительности, зубки белоснежные! Спасибо! Лучшие в своем деле!",13 января 2020,5
558,Артём,"Хочу ставить этот отзыв, чтобы вы не раздумывали, а уже набирали номер Ю-Клиник! Ребят, я не поленился написать и от всего сердца говорю, что клиника просто бомба, врачи на высшем уровне и обслуживание прям очень достойное!!! Я хоккеист и остался без переднего зуба, без импланта я понимал, что прям ну никак мне не обойтись. Позвонил, пришёл, сделали и вот я снова красавчик. Имплант как родненький, от настоящего и не отличишь. Теперь всем советую Ю-Клиник. Они мои палочка выручалочка. Спасибо вам за то, что вы есть!!!",6 января 2020,5
559,Карина,"Огромнейшее спасибо хочу выразить всему персоналу и врачам Ю-Клиник! Уже 2-ой год как я мучалась с эстетикой переднего зуба, был небольшой скол, который мешал мне свободно улыбаться.  3  раза я делала всё один и  тот же зуб в других стоматологических клиниках, но не проходил и месяц, как всё крошилось и становилось всё хуже и хуже. Я уже потеряла все надежды на красивую улыбку. Но как-то я встретила свою давнюю знакомую, мы разговорились и она мне посоветовала обратиться  в Ю-Клиник. Я не долго думая, позвонила по телефону и записалась на приём.  В день Х я пришла на приём и была удивлена сервисом этой клиники. Всё так комфортно, атмосфера тепла и заботы, я даже совсем забыла, что нахожусь в кресле стоматолога. По итогу мне сделали реставрацию переднего зуба,  всё красиво, мне нравится и я в безумном восторге,но внутри опять закрадывались сомнения, что а вдруг это  опять на месяц и всё. И вот прошло  5 месяцев как  я пишу этот отзыв, я в полном восторге и могу сказать, что я счастлива!",5 января 2020,5
560,Анна,"Мы в восторге! Посетили детского стоматолога в данной клинике, ребенок вышел от врача с улыбкой, а не слезами, как это обычно бывает. Очень понравилась система консультации предварительной. Мы, изначально посетив консультацию, обсудили план лечения с врачом, параллельно специалист разговаривал с моим сыном, что, по-моему мнению, положительно сказалось на этапе лечения. Мой и без того капризный 7-летний ребенок, будучи знакомым с врачом САМОСТОЯТЕЛЬНО(!) пошел в кабинет на лечение, после поделился, что никаких болезненных ощущений не было!Огромное спасибо за сервис, за качество обслуживания и за таких прекрасных врачей. Именно в Ю-КЛИНИК лучшая детская стоматология в Гомеле!",5 января 2020,5
561,Михаил,"Здравствуйте, хочу выразить благодарность за мою безболезненную имплантацию в Гомеле.Приехали в Гомель специально для имплантации поставили 3 импланта, всё аккуратно сделали, поставили временные коронки на импланты! Очень рад что выбрал Ю-КЛИНИК, хороший сервис, лучшие хирурги, в клинике очень уютно, Персонал улыбчивый, музыка играет расслабляющая. Цены можете увидеть на сайте.",17 декабря 2019,5
562,Екатерина,"Хочу выразить огромную благодарность Тен К.С! Давно хотела себе виниры посоветовали Кристину Сергеевну  и не зря! Осталась очень довольна, улыбка теперь идеальна и я могу ее не скрывать! Еще раз огромное спасибо!",17 декабря 2019,5
563,Евгений,"Хочу выразить огромную благодарность Дворонину Максиму Арсеньевичу, Мастер своего дела! Очень много написано хорошего в отзывах про этого замечательного хирурга и это всё правда. Ни капли не пожалел о том, что посетил именно эту клинику и попал к замечательному человеку Максиму Арсеньевичу! Отдельные слова благодарности всем работникам клиники за вежливость и внимание ;)",6 декабря 2019,5
564,Наталья,"Вчера удаляла 7-ку у замечательного врача Медведева Николая Леонидовича. Зуб был немного проблемный пришлось распилить и удалять по половинкам с наложением швов. Все прошло Так быстро и безболезненно, что я не могла поверить, что все закончилось! Спасибо врачу за подход и доброжелательность! К таким врачам не страшно возвращаться! Все объяснил , рассказал ( на понятном языке:) ещё раз огромное спасибо настоящему Врачу !",29 ноября 2019,5
565,Анастасия,"28 ноября была на удалении 7ки у врача Максима. Что хотелось бы отметить: 1) приятный интерьер и чуткий приятный  персонал встречающий на входе. 2) врач Максим профессионал своего дела! Все провел на высшем уровне! Я из боязливых, но доктор располагает к себе, отвлекает и поясняет каждое свое действие . Ещё раз выражаю благодарность Ю-клиник и Максиму.",28 ноября 2019,5
566,Лариса,"Хочу выразить огромную благодарность Дворонину Максиму Арсеньевичу, за его золотые руки и ""стильное"" отношение к работе! Вы самый лучший хирург! У моей дочери было очень сложное удаление четырёх зубов, ребёнок тоже непростой (при виде крови обычно теряет сознание, да ещё и переходный возраст) Как Максим Арсеньевич нашёл к ней подход?! Просто удивляюсь. Большое человеческое спасибо, желаю Вам и Вашим близким: ""чтоб Вы все были здорова! Чтоб до 100 лет жили, чтоб горя не знали"" :)
Отдельные слова благодарности всем работникам клиники за вежливость и внимание ;)",4 ноября 2019,5
567,Екатерина,"Для тех, кто собирается пройти процедуру имплантации: специалисты Юрковец Александр Николаевич и  Медведев Николай Леонидович оставили меня довольной результатом! Материал - цирконий - позволяет сделать зуб визуально точной копией родного. Все этапы имплантации прошли успешно. Персонал очень доброжелательный. Время первой операции рекомендую запланировать на отпуск, чтобы несколько последующих дней у вас была возможность соблюдать правила гигиены в полном объеме.  Я так поступила, чему очень рада! Благодаря этому хорошо происходило заживление. Если вы спортсмен, обратите внимание на то, что в первое время вам придется ограничить занятия спортом (до двух недель). Если вам требуется наращивание кости, принимайте ""Кальций Д3 Никомед"". 
Если все еще сомневаетесь, какую клинику предпочесть, однозначно приходите в Ю-Клиник и останетесь довольны!",7 октября 2019,5
568,Виктория,"Выражаю огромную благодарность сотрудникам Ю-КЛИНИК за оказанную помощь! Отдельно хочу поблагодарить Карпачева Вячеслава Владимировича за качественное и безболезненное лечение! А также очень признательна хирургу Дворонину Максиму Арсеньевичу за подробную консультацию, последующее удаление и осмотр! Вы лучшие!",6 октября 2019,5
569,Мария,"Хочу поблагодарить за мои белые зубки Поддубную Ольгу Владимировну! Делала отбеливание в Ю-КЛИНИК, перед этим - ультразвуковую чистку, очень довольна результатом. Советую врача и конечно саму Ю-КЛИНИК! Единственная клиника, где тебя комфортно и радостно встречает персонал, уютный интерьер.",28 сентября 2019,5
570,Любовь,"Хочется выразить благодарность Силиной Алле Валерьевне. Огромное спасибо за терпение и чуткое отношение. Найти подход к ребенку непросто, ей это с легкостью удается. Спасибо вам. Отличный врач.",19 сентября 2019,5
571,Ирина,"Потрясающий стоматологический центр! Была на приеме и сегодня привела ребенка. Чувствуется индивидуальный подход к каждому пациенту. Ребенок ожидал визита не в огромной очереди, а в специально отведенном детском уголке, что помогло снизить стресс у ребенка перед визитом к стоматологу! Очень благодарна за это! В нашем городе сервис такого уровня мало где доступен. Не могу не отметить профессионализм врачей и заботу персонала! Всем рекомендую! Лучшие!",17 августа 2019,5
572,Дарья,"Хочу выразить огромную благодарность всему коллективу Ю-КЛИНИК. У них всегда комфортно, чувствуется забота о каждом пациенте. Угостили вкусным кофе, ребенка заняли рисованием и игрушками Перед имплантацией приходила на консультацию, где получила ответы на все волнующие меня вопросы. И перестала бояться. Потом установили имплант. Через 3 месяца будет второй этап. Ребенку тоже нашли хорошего детского стоматолога в Ю-КЛИНИК. Очень удобно, что все стоматологический услуги в одном месте.",17 августа 2019,5
573,Юля,"Хорошая новая клиника, записалась на прием из-за положительных отзывов, они себя оправдали. Лечу теперь зубы у Поддубной О.В. всем довольна.",1 июля 2019,5
574,Елена Киселева,"Татьяна Николаевна я вам очень благодарно, что вы вылечили мне все мои проблемные зубы и мы вместе победили страх походов к стоматологам. Все качественно, безболезненно. Доктор чуткая, внимательная. Советую обращаться  к ней.",29 мая 2019,5
575,Ольга Петрова,"Если вы читаете эти отзывы, значит ищете хорошую клинику, могу с уверенностью сказать, Вы её нашли!!! Хочу выразить огромную благодарность всему коллективу Ю-клиник! Особенно Александру Николаевичу, Николаю Леонидовичу, Ольге Владимировне, и всему персоналу!!! Теперь эта наша семейная клиника! Спасибо вам за ваш профессионализм!",24 мая 2019,5
576,Любовь,"Хочу выразить благодарность Поддубной Ольге Владимировне. Специалист высочайшего класса. Сотворила мне такие композитные виниры, просто чудо. Спасибо огромное.",23 мая 2019,5
577,Василиса,"Алла Валерьевна, вы Бог! Преклоняюсь перед этим доктором и человеком. Когда вы с малого возраста мучаетесь с ребенком с зубками, когда он в конвульсиях и истериках заходит просто в клинику, даже не в кабинет, это боль. ты не знаешь как помочь своему ребенку и находишься в постоянных поисках специалистов.  Аллу Валерьевну нам посоветовала мамочка на детской площадке, да вот так бывает разговоришься с человеком.  Не с первого раза, конечно, мы дошли до кабинета, но когда мы там оказались, все атмосфера, которой доктор окружил ребенка, просто завораживает. никаких особых сесюканий не было, просто видно мы нашли своего доктора, которому мой ребенок наконец-то поверил, доверился, не без слезок конечно, но в итоге мы ходим уже третий раз и я не могу не на радоваться! Спасибо вам огромное!",20 мая 2019,5
578,Нина,"Просто огромное спасибо Александру Николаевичу. Самый лучший доктор. Все, кто хочет себе красивые новые зубы к нему, я агитирую! Советую!",17 мая 2019,5
579,Олег,"Хорошая клиника, новая. Приятный персонал, обходительный. Ставил пломбы у Поддубной О.В., всем доволен. Очень внимательная, подробно провела консультацию, даже спрашивать ничего не пришлось, сразу видно работает профессионал. Советую обращаться к ней.",6 мая 2019,5
580,Евгения,"Огромное, просто огроменное спасибо Алле Валерьевне, это доктор от бога! Очень сложно найти стоящего рвача, чтобы полечить ребенку зубы, особенно когда ему 5 лет, и он кричит криком. Но каким-то образом, этот доктор нашла и подход к ребенку, и смогла завлечь и отвлечь. Я безмерно благодарна, спасибо!",19 апреля 2019,5
581,Вера,"Мой самый лучший доктор Вячеслав Владимирович Карпачев. Долгие годы я лечу у него зубы сама, вожу мужа и сына. Никогда не возникало ни малейшего вопроса в его не компетенции. Раньше ходили к нему в другую клинику, теперь вот перешли в след за ним в Ю-Клиник.  Клиника новая, чистая, все стерильно и аккуратно, приятные и вежливые девочки. Я довольна!",17 апреля 2019,5
582,София,"Спасибо Максиму Арсеньевичу за его золотые руки. Ребенок даже не пикнул, когда ему удаляли зубик. Очень позитивный и хороший доктор, побольше бы таких! Спасибо еще раз!",15 апреля 2019,5
583,Эльвира,"Замечательная стоматология с квалифицированными врачами. Лечила зуб у Жлоба Татьяны Николаевны. Осталась очень довольна ее подходом в лечение и в общении с пациентом. Внимательная, чуткая. Была так же на консультации у врача ортопеда, так же очень осталась довольна тем, насколько грамотно и компетентно он подошел к моей ситуации и предложил все возможные варианты лечения и исправления сложившейся ситуации. Благодарна клинке и персоналу за ее работу. Теперь только к вам!",10 апреля 2019,5
584,Никита,Спасибо доктору Абдулу за брекеты. Это очень хороший и позитивный доктор. Скоро у меня будет супер улыбка и ровные зубы.,3 апреля 2019,5
585,Нина,"Пришла первый раз в эту клинику как только они открылись, хотелось посмотреть как все у них обстоит, какие цены. Записалась на консультацию, доктор мне попался просто замечательный, Жлоба Татьяна Николаевна, с тех пор я к ней и хожу, периодически, раз в месяц лечу пару зубиков. С тех пор клиника еще больше преобразилась. Много новых специалистов, пациентов очень много, вижу как все работает в большой загруженности, нет ни халатного отношения, ни пренебрежения к работе. Одним словом, чем больше я сюда прихожу, тем больше мне хочется приходить и видеть, что в нашей стране не все потеряно, и есть действительно хорошие заведения с хорошими специалистами! Спасибо Ю-клиник за сервис, внимание, обходительность. Вы настоящая команда профессионалов.",29 марта 2019,5
586,Михаил,"Отличный сервис и отличные врачи! Всем доволен, цены приемлемые.",28 марта 2019,5
587,Светлана Бахмат,"Посетив несколько других клиник и не найдя там нужных ответов, по совету моих уважаемых знакомых, я обратилась в Ю-КЛИНИК. Честное слово, я рада, что попала в хорошие руки. Очень благодарна за консультацию Юрковцу Александру Николаевичу, который четко подсказал что и как нужно сделать и при этом сэкономить денежку. Лечение проводила Поддубная Ольга Владимировна. Спасибо Вам, Ольга Владимировна за качественно сделанную работу! Теперь улыбаюсь всем с удовольствием (улыбочка что надо). Сервис, конечно на высоте. Здесь предложат чай, кофе и непременно с улыбкой! Атмосфера располагает и хочется сюда приходить!",19 марта 2019,5
588,Инесса,"Клиникой довольна на все 100%. Началось мое знакомство с обычной консультации, и мне настолько понравилось, все обстановка, работа, коллектив, обходительность сотрудников и докторов, согласованность действий, в общем работают люди на совесть. Здесь на месте мне и лечили зубы, готовила под коронки, и сразу удалили несколько старых корней разрушенных зубов, столько лет я боялась это сделать, но познакомившись с хирургом Медведевым все мои сомнения сразу же прошли, абсолютно безболезненная процедура, или просто у доктора золотые руки. Выражаю благодарность Павлу Александровичу, молодому таланту ю-клиник, доктор от бога, сразу видно, что лечить зубы даже самые сложные ситуации это его призвание. Такая же огромная благодарность моему замечательному доктору Александру Николаевичу Юрковцу, который подготовил мне коронки, установил их, как будто родные зубы, идеальный цвет, форма.  Одним словом в этой клиники работают талантливые, профессиональные и самые лучшие стоматологи!",19 марта 2019,5
